[2020-04-14 15:49:59,703][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:04,731][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:09,760][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:15,008][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:20,033][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:25,054][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:30,079][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:35,103][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:40,127][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:45,150][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:50,172][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:50:55,192][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:00,267][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:05,291][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:10,304][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:15,317][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:20,328][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:25,345][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:30,356][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:35,370][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:40,381][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:45,393][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:50,421][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:51:55,432][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:00,444][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:05,457][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:10,465][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:15,478][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{QjXwQccmRGGiAKc16Hl4uw}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [searchlite], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:24,055][WARN ][main] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:25,220][WARN ][main] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation. (DriverDataSource.java:68)
[2020-04-14 15:52:28,817][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:33,840][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:38,862][WARN ][elasticsearch[_client_][generic][T#4]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:43,879][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:48,902][WARN ][elasticsearch[_client_][generic][T#3]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:53,925][WARN ][elasticsearch[_client_][generic][T#1]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
[2020-04-14 15:52:58,946][WARN ][elasticsearch[_client_][generic][T#2]] node {#transport#-1}{EQGeVozGSNSwsKOEmxe41Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [elasticsearch], ignoring... (TransportClientNodesService.java:423)
